,name,email,class,time
66,Adarsh Ranjan,adarshranjan8427@gmail.com,Class A,08:00
40,Brianna Anderson,owilliams@atkins.com,Class A,08:00
61,Adarsh Ranjan,adarshranjan8427@gmail.com,Class A,11:20
35,Brooke Mitchell,bartonmichelle@hotmail.com,Class A,11:20
14,Cody Arnold,johnallen@huffman.com,Class A,11:20
48,Douglas Osborne,ashley05@gmail.com,Class A,11:20
15,Kimberly Adams,timothy91@bailey-james.org,Class A,11:20
27,Aaron Harrison,stevensgregory@yahoo.com,Class B,08:00
63,Adarsh Ranjan,adarshranjan8427@gmail.com,Class B,08:00
28,Ashley Werner,lcollins@yahoo.com,Class B,08:00
23,Jacob Barrett,scott87@carter.net,Class B,08:00
49,Roy Duncan,paul21@yahoo.com,Class B,08:00
59,Adarsh Ranjan,adarshranjan8427@gmail.com,Class B,09:40
10,Kenneth Fisher,lynn98@may-thomas.com,Class B,09:40
17,Valerie Foley,ejones@gmail.com,Class B,09:40
65,Adarsh Ranjan,adarshranjan8427@gmail.com,Class B,10:30
39,Whitney Patel,brian55@peterson-padilla.com,Class B,10:30
67,Adarsh Ranjan,adarshranjan8427@gmail.com,Class B,11:20
44,Laura Rivera,james61@holmes-ware.biz,Class B,11:20
41,Stephanie Gonzales,sierra25@jordan.com,Class B,11:20
58,Adarsh Ranjan,adarshranjan8427@gmail.com,Class C,08:00
19,Gregory Heath,sstewart@bennett.biz,Class C,08:00
8,Krista Johnson,halllinda@tyler.biz,Class C,08:00
55,Adarsh Ranjan,adarshranjan8427@gmail.com,Class C,08:50
33,Jean Martinez,gomezlindsay@gmail.com,Class C,08:50
31,Justin Molina,lfrederick@hotmail.com,Class C,08:50
5,Krista Collier,amandabaldwin@lloyd-king.com,Class C,08:50
51,Adarsh Ranjan,adarshranjan8427@gmail.com,Class C,10:30
1,Darlene Colon,richard09@yahoo.com,Class C,10:30
30,Jacob Ingram,clayheather@wilcox-barker.org,Class C,10:30
47,Keith Parker,turnerjoshua@hotmail.com,Class C,10:30
53,Adarsh Ranjan,adarshranjan8427@gmail.com,Class C,11:20
42,Angela Bradford,jo89@gmail.com,Class C,11:20
3,Hayley Jones,alejandradouglas@lewis.com,Class C,11:20
43,Jennifer Stein,bakerjason@pena.com,Class C,11:20
20,Veronica Hill,phillipssusan@gmail.com,Class C,11:20
56,Adarsh Ranjan,adarshranjan8427@gmail.com,Class D,08:00
6,Terry Evans,perezspencer@hotmail.com,Class D,08:00
52,Adarsh Ranjan,adarshranjan8427@gmail.com,Class D,08:50
26,Anne Cortez,curtismason@rivera.net,Class D,08:50
18,Dominique Paul,johnchan@hernandez-moore.com,Class D,08:50
13,Joann Fitzgerald,powelljason@martin.com,Class D,08:50
34,Joseph George,jennifermills@riley.com,Class D,08:50
12,Maria Richardson,danieljones@phelps.com,Class D,08:50
2,Peter Ballard,respinoza@douglas.info,Class D,08:50
57,Adarsh Ranjan,adarshranjan8427@gmail.com,Class D,09:40
45,Bruce Russell,ybean@wright.org,Class D,09:40
9,Jeffrey Welch,anthony93@hotmail.com,Class D,09:40
7,Joshua Cooley,tina95@willis.org,Class D,09:40
32,Laura Moore,tmoreno@rose.com,Class D,09:40
62,Adarsh Ranjan,adarshranjan8427@gmail.com,Class D,10:30
29,Andrew Harris,dylan81@elliott-vega.net,Class D,10:30
21,Evan Lopez,leebrian@hotmail.com,Class D,10:30
60,Adarsh Ranjan,adarshranjan8427@gmail.com,Class D,11:20
25,Christine Farmer,williamsbilly@fischer.com,Class D,11:20
11,Kevin Rivera,lindsey91@yahoo.com,Class D,11:20
16,Tracy Allen,sabrinaortiz@gmail.com,Class D,11:20
64,Adarsh Ranjan,adarshranjan8427@gmail.com,Class E,08:00
37,Jay Cole,mcervantes@conway.com,Class E,08:00
50,Adarsh Ranjan,adarshranjan8427@gmail.com,Class E,09:40
38,Andrew Simpson,debra37@cooper-finley.biz,Class E,09:40
36,Christopher Miller,vjones@yahoo.com,Class E,09:40
0,Jamie Mack,greendiane@tran-monroe.com,Class E,09:40
46,Kevin Kramer,amandaking@lewis.biz,Class E,09:40
54,Adarsh Ranjan,adarshranjan8427@gmail.com,Class E,10:30
4,Daniel Vazquez,linda06@johnson.info,Class E,10:30
22,Kristen Murphy,gwatkins@hendricks.info,Class E,10:30
24,Robert Bennett,michealwilliams@allen.net,Class E,10:30
