name,email,class,time
Jamie Mack,greendiane@tran-monroe.com,Class E,09:40
Darlene Colon,richard09@yahoo.com,Class C,10:30
Peter Ballard,respinoza@douglas.info,Class D,08:50
Hayley Jones,alejandradouglas@lewis.com,Class C,11:20
Daniel Vazquez,linda06@johnson.info,Class E,10:30
Krista Collier,amandabaldwin@lloyd-king.com,Class C,08:50
Terry Evans,perezspencer@hotmail.com,Class D,08:00
Joshua Cooley,tina95@willis.org,Class D,09:40
Krista Johnson,halllinda@tyler.biz,Class C,08:00
Jeffrey Welch,anthony93@hotmail.com,Class D,09:40
Kenneth Fisher,lynn98@may-thomas.com,Class B,09:40
Kevin Rivera,lindsey91@yahoo.com,Class D,11:20
Maria Richardson,danieljones@phelps.com,Class D,08:50
Joann Fitzgerald,powelljason@martin.com,Class D,08:50
Cody Arnold,johnallen@huffman.com,Class A,11:20
Kimberly Adams,timothy91@bailey-james.org,Class A,11:20
Tracy Allen,sabrinaortiz@gmail.com,Class D,11:20
Valerie Foley,ejones@gmail.com,Class B,09:40
Dominique Paul,johnchan@hernandez-moore.com,Class D,08:50
Gregory Heath,sstewart@bennett.biz,Class C,08:00
Veronica Hill,phillipssusan@gmail.com,Class C,11:20
Evan Lopez,leebrian@hotmail.com,Class D,10:30
Kristen Murphy,gwatkins@hendricks.info,Class E,10:30
Jacob Barrett,scott87@carter.net,Class B,08:00
Robert Bennett,michealwilliams@allen.net,Class E,10:30
Christine Farmer,williamsbilly@fischer.com,Class D,11:20
Anne Cortez,curtismason@rivera.net,Class D,08:50
Aaron Harrison,stevensgregory@yahoo.com,Class B,08:00
Ashley Werner,lcollins@yahoo.com,Class B,08:00
Andrew Harris,dylan81@elliott-vega.net,Class D,10:30
Jacob Ingram,clayheather@wilcox-barker.org,Class C,10:30
Justin Molina,lfrederick@hotmail.com,Class C,08:50
Laura Moore,tmoreno@rose.com,Class D,09:40
Jean Martinez,gomezlindsay@gmail.com,Class C,08:50
Joseph George,jennifermills@riley.com,Class D,08:50
Brooke Mitchell,bartonmichelle@hotmail.com,Class A,11:20
Christopher Miller,vjones@yahoo.com,Class E,09:40
Jay Cole,mcervantes@conway.com,Class E,08:00
Andrew Simpson,debra37@cooper-finley.biz,Class E,09:40
Whitney Patel,brian55@peterson-padilla.com,Class B,10:30
Brianna Anderson,owilliams@atkins.com,Class A,08:00
Stephanie Gonzales,sierra25@jordan.com,Class B,11:20
Angela Bradford,jo89@gmail.com,Class C,11:20
Jennifer Stein,bakerjason@pena.com,Class C,11:20
Laura Rivera,james61@holmes-ware.biz,Class B,11:20
Bruce Russell,ybean@wright.org,Class D,09:40
Kevin Kramer,amandaking@lewis.biz,Class E,09:40
Keith Parker,turnerjoshua@hotmail.com,Class C,10:30
Douglas Osborne,ashley05@gmail.com,Class A,11:20
Roy Duncan,paul21@yahoo.com,Class B,08:00
